id_empleado,nombre,apellido,genero,edad,departamento,cargo,tipo_contrato,salario_base,bonificacion,dias_vacaciones,pais,ciudad,anios_experiencia,estado,correo,telefono,fecha_contratacion,ultimo_aumento,evaluacion_desempeno
17754,Nombre001,Apellido001,Masculino,56,Gerencia,Consultor,medio_tiempo,15669.36,12817.29,14,Guatemala,Ciudad_4,13,contrato_temporal,empleado17754@empresa.com,+502 75609379,2011-05-21,2023-09-01,1.82
21725,Nombre002,Apellido002,Masculino,52,Auditoría,Supervisor,indefinido,46421.16,8381.96,21,El Salvador,Ciudad_10,1,incapacidad,empleado21725@empresa.com,+502 44152669,2011-04-01,2021-06-01,8.35
95498,Nombre003,Apellido003,Femenino,33,Logística,Coordinador,tiempo_completo,74962.88,1035.29,29,Costa Rica,Ciudad_16,2,vacaciones,empleado95498@empresa.com,+502 64877191,2011-08-22,2012-08-27,2.62
85252,Nombre004,Apellido004,Femenino,28,Legal,Supervisor,indefinido,9179.25,14462.17,27,Belice,Ciudad_18,8,vacaciones,empleado85252@empresa.com,+502 25922674,2019-06-06,2021-07-11,2.61
40437,Nombre005,Apellido005,Masculino,54,Contabilidad,Analista,por_proyecto,38651.3,10786.41,13,El Salvador,Ciudad_18,24,de_baja,empleado40437@empresa.com,+502 43220503,2021-11-11,2022-03-21,5.15
80143,Nombre006,Apellido006,Masculino,29,Contabilidad,Supervisor,tiempo_completo,21531.3,1009.36,19,Honduras,Ciudad_2,28,contrato_temporal,empleado80143@empresa.com,+502 16533225,2014-03-25,2024-01-16,3.2
14888,Nombre007,Apellido007,Masculino,22,Contabilidad,Jefe de Área,por_proyecto,21030.44,13745.96,18,El Salvador,Ciudad_11,36,contrato_temporal,empleado14888@empresa.com,+502 53038943,2019-11-05,2021-02-26,3.13
32946,Nombre008,Apellido008,Femenino,29,Marketing,Asistente,tiempo_completo,45867.3,8875.01,23,Panamá,Ciudad_6,40,incapacidad,empleado32946@empresa.com,+502 84605013,2021-09-10,2022-12-06,5.46
64773,Nombre009,Apellido009,Femenino,42,Operaciones,Supervisor,medio_tiempo,26091.41,2758.18,17,Panamá,Ciudad_16,15,de_baja,empleado64773@empresa.com,+502 50364158,2018-07-20,2024-06-06,8.72
33040,Nombre010,Apellido010,Femenino,29,Operaciones,Consultor,medio_tiempo,32908.27,3824.93,10,Belice,Ciudad_3,28,vacaciones,empleado33040@empresa.com,+502 22410307,2020-05-21,2020-09-16,5.82
14763,Nombre011,Apellido011,Masculino,32,Recursos Humanos,Gerente,medio_tiempo,39913.35,13042.11,10,Guatemala,Ciudad_10,0,de_baja,empleado14763@empresa.com,+502 35504548,2016-01-09,2020-04-01,9.66
62034,Nombre012,Apellido012,Masculino,27,Operaciones,Gerente,por_proyecto,62714.57,5709.93,17,Panamá,Ciudad_12,19,vacaciones,empleado62034@empresa.com,+502 58270683,2020-09-28,2022-02-06,5.62
74930,Nombre013,Apellido013,Femenino,51,Ventas,Director,por_proyecto,34872.62,8437.87,7,El Salvador,Ciudad_5,1,vacaciones,empleado74930@empresa.com,+502 84264220,2012-03-18,2022-09-28,9.41
34420,Nombre014,Apellido014,Masculino,57,Ventas,Director,medio_tiempo,32247.66,12500.44,15,Panamá,Ciudad_18,21,vacaciones,empleado34420@empresa.com,+502 75581613,2019-05-14,2021-01-07,9.7
47941,Nombre015,Apellido015,Masculino,61,Logística,Jefe de Área,medio_tiempo,58464.14,7324.74,29,Panamá,Ciudad_18,3,contrato_temporal,empleado47941@empresa.com,+502 14539747,2021-01-01,2023-08-02,8.55
14910,Nombre016,Apellido016,Femenino,24,Tecnología,Gerente,tiempo_completo,57452.06,137.12,16,Belice,Ciudad_15,23,activo,empleado14910@empresa.com,+502 92924441,2011-02-02,2011-03-26,6.74
11214,Nombre017,Apellido017,Masculino,59,Auditoría,Consultor,indefinido,3912.52,7941.26,8,El Salvador,Ciudad_18,18,activo,empleado11214@empresa.com,+502 77406294,2020-12-10,2021-01-11,8.32
49110,Nombre018,Apellido018,Masculino,63,Auditoría,Jefe de Área,medio_tiempo,17778.77,7896.84,26,El Salvador,Ciudad_12,17,incapacidad,empleado49110@empresa.com,+502 20605783,2014-01-08,2015-03-22,4.36
84443,Nombre019,Apellido019,Masculino,45,Marketing,Coordinador,tiempo_completo,10199.54,5688.96,17,El Salvador,Ciudad_16,3,activo,empleado84443@empresa.com,+502 33002714,2022-09-03,2023-05-10,1.74
89007,Nombre020,Apellido020,Masculino,47,Auditoría,Analista,medio_tiempo,19279.11,13021.75,28,Panamá,Ciudad_19,30,vacaciones,empleado89007@empresa.com,+502 16249441,2017-06-06,2023-10-10,9.32
24064,Nombre021,Apellido021,Masculino,63,Tecnología,Director,tiempo_completo,77033.13,8805.54,24,Honduras,Ciudad_13,4,vacaciones,empleado24064@empresa.com,+502 31803703,2022-03-07,2023-10-05,6.08
53914,Nombre022,Apellido022,Femenino,56,Tecnología,Coordinador,por_proyecto,7134.63,6556.32,26,Belice,Ciudad_3,21,contrato_temporal,empleado53914@empresa.com,+502 92391596,2018-09-23,2022-06-12,9.59
47298,Nombre023,Apellido023,Femenino,45,Legal,Especialista,medio_tiempo,30397.46,14117.14,13,Belice,Ciudad_6,37,incapacidad,empleado47298@empresa.com,+502 21501669,2017-04-27,2017-08-26,7.95
69552,Nombre024,Apellido024,Masculino,38,Recursos Humanos,Asistente,medio_tiempo,32260.0,11758.35,4,Belice,Ciudad_13,20,vacaciones,empleado69552@empresa.com,+502 24301022,2015-07-12,2023-07-10,1.82
94058,Nombre025,Apellido025,Masculino,39,Tecnología,Coordinador,medio_tiempo,36185.42,8354.78,16,El Salvador,Ciudad_14,6,activo,empleado94058@empresa.com,+502 22028437,2018-01-27,2021-02-04,4.19
81211,Nombre026,Apellido026,Femenino,25,Contabilidad,Asistente,indefinido,32860.57,1270.49,28,Costa Rica,Ciudad_18,15,contrato_temporal,empleado81211@empresa.com,+502 79941466,2023-06-01,2023-11-14,2.53
78723,Nombre027,Apellido027,Femenino,44,Marketing,Especialista,medio_tiempo,7871.57,6520.14,13,México,Ciudad_10,30,activo,empleado78723@empresa.com,+502 58469365,2013-02-11,2019-02-22,3.27
74738,Nombre028,Apellido028,Masculino,35,Legal,Coordinador,medio_tiempo,26458.67,14232.35,10,Panamá,Ciudad_20,24,vacaciones,empleado74738@empresa.com,+502 69085720,2021-02-13,2024-06-13,4.01
27589,Nombre029,Apellido029,Femenino,61,Gerencia,Gerente,indefinido,27192.11,14468.62,30,Costa Rica,Ciudad_11,18,incapacidad,empleado27589@empresa.com,+502 87293208,2013-01-20,2019-10-17,8.04
76088,Nombre030,Apellido030,Femenino,40,Recursos Humanos,Técnico,medio_tiempo,48601.48,8184.44,21,El Salvador,Ciudad_18,1,incapacidad,empleado76088@empresa.com,+502 38138531,2016-04-15,2020-09-10,4.95
71344,Nombre031,Apellido031,Femenino,38,Tecnología,Asistente,medio_tiempo,22456.49,2312.15,13,Belice,Ciudad_13,4,incapacidad,empleado71344@empresa.com,+502 90253323,2011-07-21,2020-09-22,5.31
45761,Nombre032,Apellido032,Masculino,45,Logística,Consultor,tiempo_completo,11421.45,3723.46,21,Costa Rica,Ciudad_12,10,contrato_temporal,empleado45761@empresa.com,+502 15945401,2021-05-13,2023-09-16,6.07
35272,Nombre033,Apellido033,Femenino,61,Operaciones,Coordinador,tiempo_completo,10592.71,3330.02,23,Panamá,Ciudad_17,35,contrato_temporal,empleado35272@empresa.com,+502 87206788,2018-12-18,2024-05-20,2.99
24764,Nombre034,Apellido034,Masculino,43,Logística,Analista,indefinido,11050.3,6239.63,30,El Salvador,Ciudad_3,7,de_baja,empleado24764@empresa.com,+502 56751880,2020-05-21,2024-03-12,3.81
53343,Nombre035,Apellido035,Femenino,49,Logística,Especialista,tiempo_completo,36738.78,10451.45,10,Belice,Ciudad_3,19,activo,empleado53343@empresa.com,+502 25446483,2014-08-22,2020-06-25,1.2
31298,Nombre036,Apellido036,Masculino,41,Auditoría,Jefe de Área,medio_tiempo,28486.2,6395.54,14,Panamá,Ciudad_8,25,de_baja,empleado31298@empresa.com,+502 35016429,2012-06-14,2016-02-20,6.76
70150,Nombre037,Apellido037,Masculino,47,Legal,Técnico,indefinido,32940.36,10571.03,6,El Salvador,Ciudad_9,4,contrato_temporal,empleado70150@empresa.com,+502 23656928,2010-08-28,2024-06-05,8.2
94972,Nombre038,Apellido038,Masculino,54,Legal,Coordinador,por_proyecto,54644.01,7342.26,30,México,Ciudad_11,38,incapacidad,empleado94972@empresa.com,+502 92048427,2018-03-16,2021-11-10,4.53
43720,Nombre039,Apellido039,Masculino,27,Marketing,Técnico,tiempo_completo,54752.48,4697.79,7,Honduras,Ciudad_10,7,de_baja,empleado43720@empresa.com,+502 60104292,2017-11-23,2023-01-11,7.24
34405,Nombre040,Apellido040,Masculino,52,Gerencia,Supervisor,indefinido,17303.03,9532.52,22,El Salvador,Ciudad_6,35,de_baja,empleado34405@empresa.com,+502 75718640,2019-05-20,2022-09-22,3.6
