id_estudiante,nombre,apellido,carrera,universidad,modalidad,semestre_actual,creditos_aprobados,creditos_pendientes,promedio_general,estado,tipo_beca,pensum,fecha_inscripcion,fecha_graduacion_esperada,pago_mensual,deuda_acumulada,id_asesor,cursos_aprobados,cursos_reprobados,idiomas,correo_institucional
851114,Estudiante001,Apellido001,Comunicación,UGAP,semi_presencial,4,77,163,70.23,egresado,mérito,2021,2020-08-07,2024-08-01,7608.42,46390.56,248,7,0,Español,est851114@universidad.edu.gt
586028,Estudiante002,Apellido002,Comunicación,URL,semi_presencial,10,193,47,89.98,activo,deportiva,2022,2023-03-04,2028-03-01,3040.13,5615.78,212,36,4,Español|Inglés,est586028@universidad.edu.gt
906013,Estudiante003,Apellido003,Administración de Empresas,UGAP,intensivo,6,114,126,66.32,egresado,completa,2022,2021-10-26,2027-10-01,1963.62,26321.69,301,22,2,Inglés|Español,est906013@universidad.edu.gt
926897,Estudiante004,Apellido004,Contaduría,USAM,intensivo,3,49,191,80.16,suspendido,completa,2020,2020-09-26,2024-09-01,7313.35,18053.24,276,31,10,Italiano,est926897@universidad.edu.gt
268815,Estudiante005,Apellido005,Medicina,UVG,intensivo,5,89,151,93.72,graduado,ninguna,2022,2015-12-25,2019-12-01,5958.9,22211.02,144,19,14,Alemán|Francés,est268815@universidad.edu.gt
397503,Estudiante006,Apellido006,Contaduría,UNIS,intensivo,2,36,204,73.73,graduado,ninguna,2021,2020-11-21,2025-11-01,995.87,48004.76,463,13,9,Español|Italiano,est397503@universidad.edu.gt
680115,Estudiante007,Apellido007,Ingeniería Civil,UGAP,intensivo,8,145,95,59.96,graduado,completa,2018,2019-04-13,2024-04-01,4654.0,2111.65,178,48,4,Portugués|Francés,est680115@universidad.edu.gt
291549,Estudiante008,Apellido008,Administración de Empresas,UNIS,intensivo,4,67,173,56.21,activo,ninguna,2023,2022-06-20,2027-06-01,3628.68,24594.33,285,19,15,Italiano|Inglés|Español,est291549@universidad.edu.gt
284064,Estudiante009,Apellido009,Comunicación,UDEP,presencial,8,148,92,93.42,suspendido,parcial,2022,2022-01-16,2028-01-01,4070.31,34712.25,129,30,13,Francés,est284064@universidad.edu.gt
609660,Estudiante010,Apellido010,Ingeniería en Sistemas,UNIS,semi_presencial,2,37,203,93.92,intercambio,completa,2022,2016-07-08,2021-07-01,1724.82,13633.52,199,20,14,Italiano|Francés,est609660@universidad.edu.gt
387497,Estudiante011,Apellido011,Administración de Empresas,UGAP,semi_presencial,10,196,44,88.23,graduado,completa,2019,2021-09-18,2025-09-01,4577.84,43622.16,365,40,5,Francés|Italiano|Portugués,est387497@universidad.edu.gt
502380,Estudiante012,Apellido012,Enfermería,UGAP,presencial,4,72,168,70.6,baja_voluntaria,deportiva,2018,2016-10-29,2020-10-01,2134.07,25169.14,159,23,15,Portugués,est502380@universidad.edu.gt
280685,Estudiante013,Apellido013,Psicología,USAC,presencial,11,209,31,73.98,graduado,parcial,2023,2018-06-30,2024-06-01,3219.26,40851.94,172,8,0,Portugués|Francés|Inglés,est280685@universidad.edu.gt
314677,Estudiante014,Apellido014,Ingeniería en Sistemas,UCE,intensivo,9,176,64,56.27,activo,parcial,2018,2016-06-17,2020-06-01,3686.04,38151.18,116,14,9,Español,est314677@universidad.edu.gt
372769,Estudiante015,Apellido015,Enfermería,UFM,virtual,11,203,37,73.45,graduado,mérito,2018,2017-11-02,2021-11-01,996.86,33379.32,146,42,1,Español,est372769@universidad.edu.gt
489346,Estudiante016,Apellido016,Administración de Empresas,UDEP,presencial,2,37,203,97.44,intercambio,parcial,2023,2018-11-25,2023-11-01,1704.18,25031.72,198,54,8,Portugués|Inglés|Español,est489346@universidad.edu.gt
317466,Estudiante017,Apellido017,Medicina,UCE,presencial,4,72,168,98.68,graduado,mérito,2021,2016-02-09,2020-02-01,7403.58,42564.84,317,10,0,Francés|Portugués,est317466@universidad.edu.gt
930943,Estudiante018,Apellido018,Arquitectura,UNIS,presencial,3,54,186,70.38,activo,mérito,2021,2023-07-16,2028-07-01,1427.12,5515.81,159,32,7,Alemán,est930943@universidad.edu.gt
355141,Estudiante019,Apellido019,Derecho,URL,intensivo,5,98,142,80.02,egresado,mérito,2019,2018-07-01,2024-07-01,7821.34,22197.79,106,18,14,Alemán|Francés|Italiano,est355141@universidad.edu.gt
720438,Estudiante020,Apellido020,Administración de Empresas,UMG,presencial,9,172,68,69.82,suspendido,parcial,2020,2020-11-10,2026-11-01,5573.89,5960.89,202,31,3,Alemán|Portugués,est720438@universidad.edu.gt
357808,Estudiante021,Apellido021,Arquitectura,UCE,intensivo,8,152,88,56.14,baja_voluntaria,ninguna,2020,2019-10-06,2025-10-01,4243.33,38240.85,175,54,12,Portugués|Francés|Alemán,est357808@universidad.edu.gt
414178,Estudiante022,Apellido022,Ingeniería en Sistemas,URL,intensivo,10,196,44,56.11,egresado,completa,2019,2020-06-27,2025-06-01,2231.16,47120.15,295,29,3,Español,est414178@universidad.edu.gt
745980,Estudiante023,Apellido023,Psicología,UCE,intensivo,8,154,86,57.64,intercambio,mérito,2022,2021-12-22,2027-12-01,1222.5,3825.86,275,43,10,Alemán|Italiano|Inglés,est745980@universidad.edu.gt
857746,Estudiante024,Apellido024,Ingeniería Civil,UCE,presencial,11,207,33,97.63,activo,parcial,2022,2015-05-10,2020-05-01,7100.94,5956.71,437,55,0,Francés|Alemán,est857746@universidad.edu.gt
223792,Estudiante025,Apellido025,Enfermería,UCE,intensivo,12,220,20,94.24,baja_voluntaria,ninguna,2019,2016-11-03,2021-11-01,3730.11,15622.98,359,49,9,Alemán|Español,est223792@universidad.edu.gt
507410,Estudiante026,Apellido026,Ingeniería en Sistemas,UDEP,presencial,1,14,226,74.73,graduado,mérito,2020,2019-03-28,2025-03-01,5573.66,38323.54,479,25,8,Francés|Español,est507410@universidad.edu.gt
636770,Estudiante027,Apellido027,Derecho,UFM,virtual,8,149,91,69.03,egresado,mérito,2022,2019-10-20,2024-10-01,7939.59,20596.48,143,1,10,Italiano,est636770@universidad.edu.gt
